name,rating
Terre d’Hermès Vetiver,9.5
Théorème Rue Broca,9.0
Nishane Vetiver,9.5
Armaf Club de Nuit Untold,9.5
Versace Eros,7.5
YSL Y,7.5
Paco Rabanne 1 Million Elixir,7.0
Davidoff Cool Water,8.0
Rasasi Hawas,6.5
Studio West Bora Bora,9.0
Studio West Man,9.0
Khamrah Kahwah,7.0
Silver Shade,8.0
Afnan Snoi,7.0
Afnan Rare Reef,9.0
Afnan 9pm,3.0
Lattafa Kingdom,
Maison Alhambra Yeah Man,8.0
Fragrance World Mark & Victor,7.0
Club de Nuit Sillage,8.0
Blu by Ahmad,7.0
1200 Micrograms,9.5
Time & Space 2.0,9.0
Komorebi (Mridul),8.0
Patchouli Rum (Mridul),8.0
Dusk Till Dawn (Mridul),7.5
Ambergris Gold (Mridul),
Sacred Temptation (Mridul),8.0
Santal 1 (Mridul),
Nile to Milky Way (Mridul),8.0
Labyrinth Potion (Mridul),7.0
Bourbon Silk (Mridul),8.5
Petals of Desire 8.0,8.0
Bazinga Absolu,7.0
Magic Mushroom,8.0
Dopamine Absolu 2.0,8.0
Long Island Ice Tea 2.0,8.0
Monkey D. Luffy,8.5
Call of da Wild,
Equilibrium Aqua,9.0
Fractal Cologne,
Kakashi 33,
Yellow Flash,
Timeless 9.0,7.0
Timeless 2.0,7.0
Gulab (Raahi),8.5
Vétiveria (Raahi),6.5
Dahn al Oud (Raahi),7.0
Champa Muse (Raahi),8.0
Sambac Noix (Raahi),7.5
Kaaf (Ahmed Al Maghribi),6.5
Okami Umi,6.5
Albait Prive,2.0
